IBOV - Carteira do Dia 27/09/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALPA4;ALPARGATAS;PN      N1;167.963.777;0,428;
ABEV3;AMBEV S/A;ON;4.358.814.864;3,133;
AMER3;AMERICANAS;ON      NM;546.064.815;0,848;
ASAI3;ASSAI;ON      NM;794.116.430;0,684;
AZUL4;AZUL;PN      N2;327.741.172;0,572;
B3SA3;B3;ON      NM;6.079.530.858;3,829;
BIDI4;BANCO INTER;PN      N2;186.303.277;0,172;
BIDI11;BANCO INTER;UNT     N2;477.617.336;1,324;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,267;
BBSE3;BBSEGURIDADE;ON      NM;671.629.692;0,608;
BRML3;BR MALLS PAR;ON      NM;843.728.684;0,328;
BBDC3;BRADESCO;ON      N1;1.378.842.305;1,104;
BBDC4;BRADESCO;PN      N1;4.691.427.537;4,313;
BRAP4;BRADESPAR;PN  EB  N1;251.426.773;0,610;
BBAS3;BRASIL;ON      NM;1.420.530.937;1,883;
BRKM5;BRASKEM;PNA     N1;264.642.296;0,696;
BRFS3;BRF SA;ON      NM;811.759.800;0,905;
BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,581;
CRFB3;CARREFOUR BR;ON      NM;410.988.561;0,338;
CCRO3;CCR SA;ON      NM;1.115.693.556;0,610;
CMIG4;CEMIG;PN      N1;1.114.214.662;0,715;
CIEL3;CIELO;ON      NM;1.144.359.228;0,126;
COGN3;COGNA ON;ON      NM;1.847.994.874;0,252;
CPLE6;COPEL;PNB     N1;1.563.365.506;0,509;
CSAN3;COSAN;ON      NM;1.169.237.744;1,265;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,235;
CVCB3;CVC BRASIL;ON      NM;224.571.661;0,241;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,248;
DXCO3;DEXCO;ON      NM;272.062.873;0,221;
ECOR3;ECORODOVIAS;ON      NM;339.237.914;0,153;
ELET3;ELETROBRAS;ON      N1;358.028.908;0,639;
